PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
871.5910515,767.3133811,767.3133811,767.3133811,991.7257904,991.7257904,1078.318932,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.8275115,767.4173813,767.4173813,767.4173813,991.9948425,991.9948425,1078.611476,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.1181318,767.209381,767.209381,767.209381,991.1876864,991.1876864,1077.733843,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
872.536891,767.6253817,767.6253817,767.6253817,992.8019985,992.8019985,1079.48911,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
872.0639713,767.209381,767.209381,767.209381,992.2638945,992.2638945,1078.904021,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.8275115,767.209381,767.209381,767.209381,991.9948425,991.9948425,1078.611476,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
872.0639713,767.0013806,767.0013806,767.0013806,992.2638945,992.2638945,1078.904021,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
872.536891,767.3133811,767.3133811,767.3133811,992.8019985,992.8019985,1079.48911,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.8275115,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,1078.611476,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.7733509,767.1053808,767.1053808,767.1053808,993.0710506,993.0710506,1079.781654,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.3004312,766.8973804,766.8973804,766.8973804,992.5329465,992.5329465,1079.196565,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
872.3004312,766.68938,766.68938,766.68938,992.5329465,992.5329465,1079.196565,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
871.8275115,767.209381,767.209381,767.209381,991.9948425,991.9948425,1078.611476,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.8275115,766.8973804,766.8973804,766.8973804,991.9948425,991.9948425,1078.611476,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
871.8275115,767.1053808,767.1053808,767.1053808,991.9948425,991.9948425,1078.611476,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.3545917,767.1053808,767.1053808,767.1053808,991.4567384,991.4567384,1078.026387,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.1181318,767.209381,767.209381,767.209381,991.1876864,991.1876864,1077.733843,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.8275115,766.68938,766.68938,766.68938,991.9948425,991.9948425,1078.611476,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
871.8275115,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,1078.611476,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.3004312,767.1053808,767.1053808,767.1053808,992.5329465,992.5329465,1079.196565,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.7733509,767.1053808,767.1053808,767.1053808,993.0710506,993.0710506,1079.781654,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.3004312,767.209381,767.209381,767.209381,992.5329465,992.5329465,1079.196565,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
872.3004312,767.0013806,767.0013806,767.0013806,992.5329465,992.5329465,1079.196565,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
872.3004312,767.1053808,767.1053808,767.1053808,992.5329465,992.5329465,1079.196565,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.0639713,767.3133811,767.3133811,767.3133811,992.2638945,992.2638945,1078.904021,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.0639713,767.209381,767.209381,767.209381,992.2638945,992.2638945,1078.904021,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.8275115,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,1078.611476,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.0639713,767.3133811,767.3133811,767.3133811,992.2638945,992.2638945,1078.904021,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.536891,767.1053808,767.1053808,767.1053808,992.8019985,992.8019985,1079.48911,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.3004312,767.0013806,767.0013806,767.0013806,992.5329465,992.5329465,1079.196565,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
872.3004312,767.3133811,767.3133811,767.3133811,992.5329465,992.5329465,1079.196565,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
873.0098107,767.5213815,767.5213815,767.5213815,993.3401026,993.3401026,1080.074199,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
872.3004312,766.68938,766.68938,766.68938,992.5329465,992.5329465,1079.196565,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
871.8275115,766.68938,766.68938,766.68938,991.9948425,991.9948425,1078.611476,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
872.3004312,766.8973804,766.8973804,766.8973804,992.5329465,992.5329465,1079.196565,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
872.3004312,766.5853798,766.5853798,766.5853798,992.5329465,992.5329465,1079.196565,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
871.8275115,767.0013806,767.0013806,767.0013806,991.9948425,991.9948425,1078.611476,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.5910515,767.209381,767.209381,767.209381,991.7257904,991.7257904,1078.318932,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.1181318,766.8973804,766.8973804,766.8973804,991.1876864,991.1876864,1077.733843,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
868.9899931,766.7933802,766.7933802,766.7933802,988.7662181,988.7662181,1075.100943,1190.593827,1190.593827,1052.669549,1052.669549,888.1656702
870.6452121,766.8973804,766.8973804,766.8973804,990.6495823,990.6495823,1077.148754,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
869.9358326,767.209381,767.209381,767.209381,989.8424262,989.8424262,1076.27112,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.3545917,767.1053808,767.1053808,767.1053808,991.4567384,991.4567384,1078.026387,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
870.881672,767.1053808,767.1053808,767.1053808,990.9186343,990.9186343,1077.441298,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.1181318,767.209381,767.209381,767.209381,991.1876864,991.1876864,1077.733843,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
870.6452121,767.5213815,767.5213815,767.5213815,990.6495823,990.6495823,1077.148754,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
872.7733509,767.4173813,767.4173813,767.4173813,993.0710506,993.0710506,1079.781654,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
872.0639713,767.1053808,767.1053808,767.1053808,992.2638945,992.2638945,1078.904021,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
872.3004312,767.209381,767.209381,767.209381,992.5329465,992.5329465,1079.196565,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
870.881672,767.4173813,767.4173813,767.4173813,990.9186343,990.9186343,1077.441298,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.5910515,767.4173813,767.4173813,767.4173813,991.7257904,991.7257904,1078.318932,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.5910515,767.1053808,767.1053808,767.1053808,991.7257904,991.7257904,1078.318932,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.5910515,767.6253817,767.6253817,767.6253817,991.7257904,991.7257904,1078.318932,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
872.0639713,767.6253817,767.6253817,767.6253817,992.2638945,992.2638945,1078.904021,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
871.1181318,767.3133811,767.3133811,767.3133811,991.1876864,991.1876864,1077.733843,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.536891,767.3133811,767.3133811,767.3133811,992.8019985,992.8019985,1079.48911,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.5910515,767.1053808,767.1053808,767.1053808,991.7257904,991.7257904,1078.318932,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.5910515,767.5213815,767.5213815,767.5213815,991.7257904,991.7257904,1078.318932,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
872.0639713,767.6253817,767.6253817,767.6253817,992.2638945,992.2638945,1078.904021,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
871.5910515,767.3133811,767.3133811,767.3133811,991.7257904,991.7257904,1078.318932,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
